Close_NVDA,High_NVDA,Low_NVDA,Open_NVDA,Volume_NVDA,SMA,Deviation,Signal,Portfolio Value,Position,Returns
6.615377902984619,6.624594113037859,6.3164789035436195,6.360566489333126,602252000,,,0,10000.0,0.0,0.0
6.565809726715088,6.859726923295402,6.420096330914564,6.655479033659384,949960000,,,0,10000.0,0.0,0.0
6.054442882537842,6.514248946259146,6.009857415927741,6.367788726624759,656912000,,,0,10000.0,0.0,0.0
6.363306045532227,6.376507282646197,6.035513726718876,6.083586335487414,675764000,,,0,10000.0,0.0,0.0
6.075366020202637,6.367290194952693,5.937872591542112,6.325693500194788,663212000,6.334860515594483,-0.04096293750320943,0,10000.0,0.0,0.0
6.685369968414307,6.72223433295234,6.300039372327948,6.357577616461794,727884000,6.34885892868042,0.05300338903637119,-1,10000.0,0.0,0.0
6.45197868347168,6.930715076867665,6.408887362644472,6.907051954689967,784520000,6.326092720031738,0.019899481245559396,0,10000.0,-1.0,0.0
6.649251937866211,6.674160262941182,6.491084619989947,6.561076780658091,542444000,6.445054531097412,0.03168280513121271,0,10000.0,0.0,0.0
6.549618721008301,6.797953695221328,6.486600838118989,6.775038360581628,525564000,6.482317066192627,0.010382345406501946,0,10000.0,0.0,0.0
6.721487045288086,6.73020488911416,6.401416278854068,6.4898403948538785,398408000,6.611541271209717,0.01662937121138961,0,10000.0,0.0,0.0
7.072691917419434,7.106815975372771,6.822114998119444,6.849763148211364,530948000,6.689005661010742,0.05736073130347967,-1,10000.0,0.0,0.0
6.995226860046387,7.078171307263126,6.859228049104564,6.904560827722919,366148000,6.797655296325684,0.02906466349176248,0,10000.0,-1.0,0.0
7.340455532073975,7.447561001787736,7.137453790728576,7.150655027784946,745620000,6.935896015167236,0.0583283711321592,-1,10000.0,0.0,0.0
7.281173229217529,7.444072871604478,7.147166937208689,7.422651685501933,539120000,7.082206916809082,0.028093829331110844,0,10000.0,-1.0,0.0
7.149908065795898,7.310566278221043,7.105571537705695,7.154640880780786,449388000,7.167891120910644,-0.0025088348597099063,0,10000.0,0.0,0.0
6.713016510009766,7.09311583340015,6.653236820456707,7.031841996046152,735160000,7.095956039428711,-0.05396588243939792,1,10000.0,0.0,0.0
7.1274895668029785,7.170331940494882,6.859726394032235,6.905308117972619,483356000,7.1224085807800295,0.0007133803074229959,0,10000.0,1.0,0.0
7.0741868019104,7.30159898871442,7.0490295291724605,7.16958566198625,424160000,7.069154834747314,0.0007118201936039727,0,9999.946697235107,0.0,-5.330276489301511e-06
7.213175296783447,7.215167811050507,6.989250234297876,7.06397522035486,352328000,7.055555248260498,0.022339850369934963,0,9999.946697235107,0.0,0.0
7.399736404418945,7.559647277254532,7.323018921713234,7.347678299224149,479388000,7.105520915985108,0.041406603669542186,0,9999.946697235107,0.0,0.0
7.257262706756592,7.57708451816243,7.251783055110903,7.547194429443119,442904000,7.214370155334473,0.005945432587819609,0,9999.946697235107,0.0,0.0
7.434111595153809,7.486917023977469,7.316793647230619,7.392016524384657,379160000,7.275694561004639,0.021773458577856418,0,9999.946697235107,0.0,0.0
7.280178070068359,7.434110948500849,7.266229521224873,7.380059846645527,375916000,7.316892814636231,-0.005017805439821329,0,9999.946697235107,0.0,0.0
7.043549537658691,7.1959877898838185,6.995227508667212,7.0826553577426115,342096000,7.282967662811279,-0.032873704269637025,0,9999.946697235107,0.0,0.0
7.255518913269043,7.269218517045699,6.996224123851713,6.996224123851713,317556000,7.254124164581299,0.00019226975663776003,0,9999.946697235107,0.0,0.0
7.316544532775879,7.47919526462796,7.255519152599655,7.359635859684535,368896000,7.265980529785156,0.006959006122222286,0,9999.946697235107,0.0,0.0
7.417422294616699,7.5222863093734365,7.35814096046782,7.3960015798057945,323464000,7.262642669677734,0.02131175000323031,0,9999.946697235107,0.0,0.0
7.593772888183594,7.657039727916164,7.505348774878656,7.556659579132174,373732000,7.325361633300782,0.03664136575355215,0,9999.946697235107,0.0,0.0
7.7838215827941895,7.790048545043072,7.631632288004621,7.665507399718364,339216000,7.473416042327881,0.041534626027540246,0,9999.946697235107,0.0,0.0
8.035893440246582,8.082720844345966,7.750195726006368,7.77884013356439,469060000,7.629490947723388,0.05326731433431515,-1,9999.946697235107,0.0,0.0
7.773858070373535,8.1424997468575,7.764143971249282,8.093679830683575,493060000,7.72095365524292,0.006852057076484363,0,9999.946697235107,-1.0,0.0
7.751440525054932,8.0488443439838,7.5668702799806935,7.888435584821306,625852000,7.787757301330567,-0.004663316391412232,0,9999.946697235107,0.0,0.0
8.001022338867188,8.006501990035128,7.659281000499965,7.812964929554271,602312000,7.869207191467285,0.01675075318169687,0,9999.946697235107,0.0,0.0
8.459582328796387,8.469295953031287,7.845096065259283,7.860788181491247,987660000,8.004359340667724,0.05687188302701659,-1,9999.946697235107,0.0,0.0
8.718131065368652,8.883771053687452,8.648637257986733,8.728343532782867,774460000,8.140806865692138,0.07091731927820767,-1,9999.946697235107,-1.0,0.0
8.77318000793457,9.054144534562747,8.730586561799793,8.757985776843013,717320000,8.340671253204345,0.05185538928465293,-1,9999.946697235107,-1.0,0.0
8.937074661254883,9.00980665921957,8.856122710393995,8.957997486682501,587536000,8.577798080444335,0.04188447634709733,0,9999.946697235107,-1.0,0.0
8.74303913116455,9.019270768523343,8.705427456810417,9.018274986522457,761068000,8.726201438903809,0.001929555761304657,0,9999.946697235107,0.0,0.0
8.993117332458496,9.059622838486286,8.68126653165921,8.792854928040327,1038764000,8.832908439636231,0.018137728237208224,0,9999.946697235107,0.0,0.0
