Close_KO,High_KO,Low_KO,Open_KO,Volume_KO,SMA,Deviation,Signal,Portfolio Value,Position,Returns
38.592254638671875,39.07251498525083,36.91134833290449,36.91134833290449,23446000,,,0,10000.0,0.0,0.0
37.94906234741211,39.02964437818043,37.78611839869116,38.652298947270715,25373900,,,0,10000.0,0.0,0.0
36.122352600097656,37.43449159774334,35.84791902693786,36.43109118777899,21936400,,,0,10000.0,0.0,0.0
37.6917724609375,37.897596003947314,35.89937635565473,36.20811494167569,17621900,,,0,10000.0,0.0,0.0
37.5888557434082,38.026233168382646,37.14290043022508,37.37445433927242,14207100,37.58885955810547,-1.0148478327011169e-07,0,10000.0,0.0,0.0
40.02445983886719,40.31604593242564,38.326400801617304,38.9267254967678,22850000,37.875300598144534,0.05674302795706229,-1,10000.0,0.0,0.0
39.88725280761719,41.67964944194765,39.86152567502384,41.59389015229837,21279600,38.26293869018555,0.04245136868821512,-1,10000.0,-1.0,0.0
41.01070785522461,41.24226180680946,39.7328770838753,39.99873278007885,18937100,39.24060974121094,0.0451088330606314,-1,10000.0,-1.0,0.0
42.02268600463867,42.64873787294331,41.46524090209693,41.54242555827184,19165300,40.10679244995117,0.04776980251109142,-1,10000.0,-1.0,0.0
40.24744415283203,41.71394942038297,39.8786733632364,41.46524293037534,19586000,40.638510131835936,-0.009623039273222429,0,10000.0,-1.0,0.0
41.954071044921875,42.23708250819318,40.24743746191351,41.1136178160198,21801900,41.02443237304688,0.022660610229083177,-1,10000.0,0.0,0.0
40.83061218261719,41.50812154183354,40.659090370327334,40.91637145300888,12893200,41.213104248046875,-0.00928083609348146,0,10000.0,-1.0,0.0
40.39323043823242,41.03643476541132,40.10164434571773,40.65051478630909,17606800,41.08960876464844,-0.016947796470993613,0,10000.0,0.0,0.0
41.2165412902832,41.42236487702854,40.62479111749977,41.42236487702854,19844600,40.92837982177734,0.007040627304590642,0,10000.0,0.0,0.0
39.90440368652344,41.165085476111614,39.71573260271606,40.984989012315324,18957900,40.859771728515625,-0.02338162945059837,1,10000.0,0.0,0.0
38.918148040771484,40.22170911271802,37.95762728996489,39.34695089582602,26863700,40.252587127685544,-0.03315163526461231,1,10000.0,1.0,0.0
39.1754264831543,39.57850218686794,39.021057203923796,39.492739658681025,15811600,39.92154998779297,-0.018689742879893716,0,10000.257278442383,1.0,2.5727844238376818e-05
38.65229034423828,39.53562320736599,38.56653107905343,39.406984309588715,17668200,39.57336196899414,-0.023275041061144197,1,9999.734142303467,0.0,-5.231226800972433e-05
38.96102523803711,39.23545878640735,38.69516630676958,39.02105737227397,15175000,39.12225875854492,-0.004121273301291632,0,9999.734142303467,1.0,0.0
40.11879348754883,40.290315281373054,39.20115565282124,39.44986209029106,19175500,39.16513671875,0.02434963461629572,-1,10000.891910552979,0.0,0.00011577990304889596
40.084503173828125,41.165085221427496,39.93870846248524,41.07932593581901,17246700,39.398407745361325,0.017414293311068616,0,10000.891910552979,-1.0,0.0
40.41038513183594,41.04501487510644,40.20456156805012,40.539027312832,15780000,39.645399475097655,0.019295698034744003,0,10000.891910552979,0.0,0.0
39.355533599853516,40.3074766571115,39.19258965919489,40.3074766571115,20801100,39.786048126220706,-0.01082074110505745,0,10000.891910552979,0.0,0.0
39.1068229675293,39.78433233115893,38.77235723071394,39.12397547602066,14290400,39.81520767211914,-0.017791812375397894,0,10000.891910552979,0.0,0.0
38.71232223510742,39.003908314968704,38.2492143544737,38.866691528652,22544200,39.53391342163086,-0.02078193417790771,1,10000.891910552979,0.0,0.0
38.935302734375,39.53562414796378,38.72090129480577,38.9009977188824,13370500,39.304073333740234,-0.009382503340911145,0,10000.891910552979,1.0,0.0
38.37785720825195,39.1325511822237,38.35213008270386,38.93530225284026,11892900,38.89756774902344,-0.013361003549753628,0,10000.334465026855,0.0,-5.573958114024613e-05
38.24921417236328,38.79808458652309,38.1634549081385,38.72089994011829,16466000,38.67630386352539,-0.011042670795770804,0,10000.334465026855,0.0,0.0
39.54420471191406,39.63854187514544,38.48934995047573,38.66087176803218,13985100,38.763780212402345,0.020132827480587742,-1,10000.334465026855,0.0,0.0
39.05536651611328,39.54420153034013,39.038214008587005,39.184005415300916,10874600,38.83238906860352,0.0057420481422309115,0,10000.334465026855,-1.0,0.0
38.43788528442383,39.32121806423824,38.42073277870338,39.10681664999156,13424400,38.732905578613284,-0.007616787064700719,0,10000.334465026855,0.0,0.0
37.68319320678711,38.40358212424282,37.323000383812314,38.34354998708035,15854800,38.593972778320314,-0.023599010569982672,1,10000.334465026855,0.0,0.0
37.47737503051758,37.78611364950641,37.07429924778143,37.20294142952897,18000800,38.439604949951175,-0.02503225308081161,1,10000.334465026855,1.0,0.0
37.10002136230469,38.326397782289796,37.04856711376381,37.70034601016202,31579400,37.950768280029294,-0.022417119765459195,1,9999.957111358643,1.0,-3.773410474749994e-05
38.56653594970703,38.926728834780455,37.846146908053505,38.43789376417699,26118500,37.85300216674805,0.01885012395623897,0,10001.423625946045,1.0,0.00014665208771114102
38.1977653503418,38.87527475711302,37.94905886863995,38.600837875282465,17839900,37.80497817993164,0.010389826666231642,0,10001.05485534668,0.0,-3.6871810769834035e-05
39.355533599853516,39.59566220114136,38.609417394775704,38.763786716034126,22295900,38.13944625854492,0.031885290967907966,-1,10001.05485534668,0.0,0.0
38.7380485534668,39.52704751198644,38.617984276878325,39.518472894304196,13193500,38.391580963134764,0.009024572097323255,0,10001.05485534668,-1.0,0.0
