Close_KO,High_KO,Low_KO,Open_KO,Volume_KO,EMA_Short,EMA_Long,Signal,Portfolio Value,Position,Returns
38.59226608276367,39.07252657175834,36.91135927854274,36.91135927854274,23446000,38.59226608276367,38.59226608276367,0,10000.0,0.0,0.0
37.94905090332031,39.0296326082234,37.786107003737484,38.65228729110768,25373900,38.4493293762207,38.53100749424526,-1,10000.0,0.0,0.0
36.12234878540039,37.43448764447777,35.84791524122212,36.431087340477426,21936400,37.932222578260635,38.30161142673622,-1,10000.0,-1.0,0.0
37.69178009033203,37.8976036750037,35.89938362224072,36.20812227075511,17621900,37.8787909142765,38.243532251840584,-1,10000.0,-1.0,0.0
37.588863372802734,38.02624088655149,37.14290796910424,37.37446192514999,14207100,37.814362571726775,38.18118283478936,-1,10000.0,-1.0,0.0
40.02446365356445,40.31604977491373,38.326404454474,38.92672920684094,22850000,38.30549614546848,38.35673338895842,-1,10000.0,-1.0,0.0
39.887237548828125,41.67963349748083,39.86151042607664,41.59387424063859,21279600,38.65699423510396,38.50249568989839,1,10000.0,-1.0,0.0
41.010704040527344,41.24225797057372,39.73287338803815,39.99872905951258,18937100,39.18004085853138,38.74137267567258,1,10000.0,1.0,0.0
42.02268600463867,42.64873787294331,41.46524090209693,41.54242555827184,19165300,39.811739779888555,39.05387870700268,1,10001.011981964111,1.0,0.00010119819641118966
40.247440338134766,41.713945466688706,39.878669583491636,41.46523900025376,19586000,39.90856212616549,39.16755124330098,1,9999.236736297607,1.0,-0.00017750660330229096
41.95407485961914,42.237086348623414,40.24744112143417,41.11362155429838,21801900,40.36312051137742,39.43293444485509,1,10000.943370819092,1.0,0.00017067647926460872
40.83061599731445,41.50812541982874,40.65909416899977,40.91637527571841,12893200,40.4670083971412,39.56604697366075,1,9999.819911956787,1.0,-0.00011233528884713184
40.39323425292969,41.036438640852175,40.10164813287789,40.65051862530404,17606800,40.45061414287198,39.644826714543505,1,9999.382530212402,1.0,-4.373896212483963e-05
41.21653366088867,41.422357209535,40.62478359764125,41.422357209535,19844600,40.620818480209024,39.794513090385905,1,10000.205829620361,1.0,8.233502473498078e-05
39.90439987182617,41.16508154089834,39.715728806054976,40.98498509431853,18957900,40.46161434501283,39.80497849814212,1,9998.893695831299,1.0,-0.00013121067820187626
38.91815185546875,40.22171305518834,37.95763101051338,39.346954752553884,26863700,40.1186226806697,39.72051881788751,1,9997.907447814941,1.0,-9.863571374590929e-05
39.175437927246094,39.57851374870792,39.021068602920586,39.4927511954677,15811600,39.909026068797786,39.668606352112135,1,9998.164733886719,1.0,2.5733992149890028e-05
38.65229415893555,39.53562710924172,38.56653488528689,39.40698819876874,17668200,39.62975231105062,39.57181471466674,1,9997.641590118408,1.0,-5.2323979673696286e-05
38.961036682128906,39.235470311109005,38.69517767277016,39.02106883399912,15175000,39.48114883795691,39.513645378234564,-1,9997.950332641602,1.0,3.088153545127703e-05
40.118797302246094,40.29031911237948,39.20115938026487,39.44986584138296,19175500,39.62284849668784,39.571278894807094,1,9999.108093261719,-1.0,0.00011579979711817678
40.08448791503906,41.16506955129809,39.938693259195205,41.0793102983352,17246700,39.72543503409922,39.620155944353,1,9999.108093261719,1.0,0.0
40.410377502441406,41.04500712589517,40.204553977514635,40.5390196591501,15780000,39.877644471508596,39.695415140361426,1,9999.433982849121,1.0,3.259186563076e-05
39.35552978515625,40.307472750143226,39.19258586029163,40.307472750143226,20801100,39.76161898565252,39.663045106532365,1,9998.379135131836,1.0,-0.00010549074268551006
39.1068229675293,39.78433233115893,38.77235723071394,39.12397547602066,14290400,39.61610875940291,39.610071569484454,1,9998.130428314209,1.0,-2.4874713617673017e-05
38.71232604980469,39.00391215839875,38.249218123536494,38.866695358560754,22544200,39.41526815726998,39.52457199618162,-1,9997.735931396484,1.0,-3.945706855423836e-05
38.935302734375,39.53562414796378,38.72090129480577,38.9009977188824,13370500,39.308609174404424,39.468451114104795,-1,9997.958908081055,-1.0,2.2302717945343886e-05
38.37785339355469,39.13254729251106,38.35212627056382,38.93529838273385,11892900,39.10177455643782,39.3645846645286,-1,9997.958908081055,-1.0,0.0
38.24921798706055,38.79808845596068,38.16345871428276,38.72090380185805,16466000,38.91231754102065,39.2583592666745,-1,9997.958908081055,-1.0,0.0
39.54420852661133,39.6385456989431,38.48935366341468,38.660875497517274,13985100,39.0527377600408,39.285583005716106,-1,9997.958908081055,-1.0,0.0
39.05535888671875,39.54419380545257,39.03820638254319,39.183997760777004,10874600,39.0533202326359,39.26365689914493,-1,9997.958908081055,-1.0,0.0
38.437889099121094,39.321221966600234,38.42073659169838,39.106820531075684,13424400,38.91655775852149,39.1850123467617,-1,9997.958908081055,-1.0,0.0
37.683197021484375,38.403586011865585,37.323004162047,38.34355386862602,15854800,38.64247759473547,39.04198231578291,-1,9997.958908081055,-1.0,0.0
37.47737503051758,37.78611364950641,37.07429924778143,37.20294142952897,18000800,38.38356591379816,38.89297209813859,-1,9997.958908081055,-1.0,0.0
37.10002517700195,38.3264017230855,37.048570923170445,37.70034988658585,31579400,38.098334638954555,38.72221524850653,-1,9997.958908081055,-1.0,0.0
38.56653594970703,38.926728834780455,37.846146908053505,38.43789376417699,26118500,38.20237937467733,38.707388648620864,-1,9997.958908081055,-1.0,0.0
38.19776153564453,38.875270874754904,37.94905507878026,38.60083402033155,17839900,38.201353188225596,38.6588527330993,-1,9997.958908081055,-1.0,0.0
39.35552978515625,39.59565836316863,38.60941365239882,38.763782958694364,22295900,38.45783687643241,38.7252029285333,-1,9997.958908081055,-1.0,0.0
