Close_BA,High_BA,Low_BA,Open_BA,Volume_BA,EMA_Short,EMA_Long,Signal,Portfolio Value,Position,Returns
152.27999877929688,153.80999755859375,140.67999267578125,153.80999755859375,51052500,152.27999877929688,152.27999877929688,0,10000.0,0.0,0.0
149.13999938964844,160.63999938964844,149.0,155.0,29954000,151.93110995822482,151.98095121837795,-1,10000.0,0.0,0.0
130.6999969482422,144.3800048828125,130.0,138.91000366210938,41899700,149.5720974015601,149.9541936688412,-1,10000.0,-1.0,0.0
123.2699966430664,136.67999267578125,120.0199966430664,128.50999450683594,42372400,146.64964176172745,147.4128415711484,-1,10000.0,-1.0,0.0
124.5199966430664,131.2899932861328,122.5,125.0,37347400,144.19079230409844,145.23257062561677,-1,10000.0,-1.0,0.0
148.77000427246094,149.69000244140625,129.2100067138672,133.6999969482422,51085500,144.6995936339165,145.56946906817336,-1,10000.0,-1.0,0.0
141.5800018310547,164.8000030517578,140.25999450683594,162.0,56699100,144.3529723224874,145.18951980749537,-1,10000.0,-1.0,0.0
146.8699951171875,154.0,144.5500030517578,147.50999450683594,41351000,144.6326415218985,145.34956507508508,-1,10000.0,-1.0,0.0
151.83999633789062,157.97999572753906,150.08999633789062,154.7100067138672,37874200,145.43345872367541,145.96770138582846,-1,10000.0,-1.0,0.0
147.3300018310547,156.0,146.25999450683594,155.5,26034100,145.64418573560644,146.09744428537383,-1,10000.0,-1.0,0.0
141.0,152.39999389648438,140.0,150.50999450683594,33970500,145.12816509831683,145.6119734010525,-1,10000.0,-1.0,0.0
145.97999572753906,148.69000244140625,132.89999389648438,139.0,39297600,145.22281294600816,145.64702314643216,-1,10000.0,-1.0,0.0
134.24000549316406,143.24000549316406,134.0,141.4600067138672,41364800,144.00250100680324,144.5606405127876,-1,10000.0,-1.0,0.0
154.0,154.0,145.0,149.41000366210938,52389400,145.11333422826954,145.45962713061732,-1,10000.0,-1.0,0.0
143.61000061035156,151.6300048828125,142.5,147.2100067138672,34983800,144.94629715961196,145.28347222392534,-1,10000.0,-1.0,0.0
136.3300018310547,141.89999389648438,135.4499969482422,139.00999450683594,27043800,143.98893101199448,144.43076075793766,-1,10000.0,-1.0,0.0
134.97000122070312,140.82000732421875,134.52000427246094,140.4199981689453,22734500,142.98682770185098,143.5297360401058,-1,10000.0,-1.0,0.0
137.74000549316406,142.3800048828125,136.0500030517578,136.5,25936400,142.40384745644133,142.97833313087327,-1,10000.0,-1.0,0.0
128.97999572753906,137.57000732421875,128.3300018310547,137.0,35884700,140.91230837545217,141.64515814007953,-1,10000.0,-1.0,0.0
128.67999267578125,131.1999969482422,123.83000183105469,129.97000122070312,34563000,139.55316218659982,140.41038047681303,-1,10000.0,-1.0,0.0
131.3000030517578,137.1999969482422,127.73999786376953,133.8800048828125,37806900,138.6361445049507,139.54272548395062,-1,10000.0,-1.0,0.0
139.0,147.17999267578125,135.25,138.0800018310547,60454400,138.67657289328952,139.49103734262198,-1,10000.0,-1.0,0.0
141.02000427246094,144.64999389648438,132.30999755859375,137.6699981689453,37876600,138.9369541576419,139.6366532407019,-1,10000.0,-1.0,0.0
133.3699951171875,143.7100067138672,132.83999633789062,143.22999572753906,36613100,138.31840315314696,139.03982865751004,-1,10000.0,-1.0,0.0
131.4600067138672,131.5,124.3499984741211,127.12000274658203,30708900,137.5563591043381,138.31794085335358,-1,10000.0,-1.0,0.0
125.4000015258789,133.8000030517578,125.0,132.8800048828125,30621000,136.2056527067315,137.0876609174036,-1,10000.0,-1.0,0.0
121.86000061035156,126.86000061035156,121.37000274658203,125.80000305175781,29627700,134.6116913626893,135.63740755482723,-1,10000.0,-1.0,0.0
128.64999389648438,130.7100067138672,122.36000061035156,122.80999755859375,29525000,133.94928053311097,134.97193958736602,-1,10000.0,-1.0,0.0
133.44000244140625,135.5500030517578,131.55999755859375,132.57000732421875,22695700,133.8926940784771,134.82604081156032,-1,10000.0,-1.0,0.0
128.91000366210938,131.0,127.94999694824219,130.9199981689453,20055400,133.3390618099918,134.26260870208878,-1,10000.0,-1.0,0.0
125.22000122070312,133.1199951171875,125.19999694824219,129.72000122070312,22579000,132.4369439667375,133.40140798957586,-1,10000.0,-1.0,0.0
121.5,125.06999969482422,119.33000183105469,125.0,26002000,131.22172797043334,132.26794056199722,-1,10000.0,-1.0,0.0
122.5199966430664,122.61000061035156,113.88999938964844,118.9800033569336,37499200,130.25486893405923,131.33956495067048,-1,10000.0,-1.0,0.0
120.0,121.88999938964844,117.77999877929688,118.33000183105469,26756800,129.1154390524971,130.25960638393994,-1,10000.0,-1.0,0.0
135.44000244140625,136.1999969482422,125.80000305175781,126.18000030517578,43781800,129.81816831793145,130.75297743703197,-1,10000.0,-1.0,0.0
130.44000244140625,137.0399932861328,130.27999877929688,137.0,32373000,129.88726099831752,130.72317029459143,-1,10000.0,-1.0,0.0
133.32000732421875,135.4499969482422,131.30999755859375,133.27000427246094,21835500,130.26867725675098,130.9704881069369,-1,10000.0,-1.0,0.0
139.0,144.24000549316406,136.14999389648438,137.0,48263900,131.23882422822308,131.73520352532387,-1,10000.0,-1.0,0.0
137.52999877929688,141.0800018310547,135.77999877929688,141.00999450683594,21098800,131.93784362278683,132.28708878760702,-1,10000.0,-1.0,0.0
144.72999572753906,145.91000366210938,142.61000061035156,145.2100067138672,30338300,133.35919385664818,133.47212754379103,-1,10000.0,-1.0,0.0
149.52000427246094,149.64999389648438,141.24000549316406,149.13999938964844,32799900,135.15483945840515,135.0004967560453,1,10000.0,-1.0,0.0
