Close_NVDA,High_NVDA,Low_NVDA,Open_NVDA,Volume_NVDA,EMA_Short,EMA_Long,Signal,Portfolio Value,Position,Returns
5.783753871917725,5.880349054962764,5.752385509325526,5.8751209945307314,258056000,5.783753871917725,5.783753871917725,0,10000.0,0.0,0.0
5.857940673828125,5.867401037823242,5.729230244503996,5.748399791985946,231004000,5.788699658711751,5.784573615585242,1,10000.0,0.0,0.0
5.9727091789245605,5.9727091789245605,5.893292549520989,5.94383044776384,237536000,5.800966960059272,5.786652461588992,1,10000.0,1.0,0.0
5.87711238861084,5.920928852475165,5.828067864414396,5.852963593311093,205384000,5.80604332196271,5.787652018793653,1,9999.904403209686,1.0,-9.559679031378998e-06
5.90175724029541,5.906985299225425,5.757611915598499,5.78375221024857,262636000,5.812424249851556,5.788912849970469,1,9999.92904806137,1.0,2.464508728428072e-06
5.973208427429199,6.019016389767921,5.885077875706448,5.930138904576814,314856000,5.823143195023399,5.790949265191007,1,10000.000499248505,1.0,7.145169409694674e-06
5.984411716461182,6.0257385544708075,5.928894566530886,5.96897635709519,277108000,5.833894429785918,5.793086971834877,1,10000.011702537537,1.0,1.1203288472483308e-06
6.050135612487793,6.122581982150514,5.9963611540245205,6.070799029601755,255112000,5.848310508632709,5.7959272883061805,1,10000.077426433563,1.0,6.572381911373881e-06
6.082499980926514,6.1878085769213,6.068309669696577,6.157435973615166,316296000,5.863923140118962,5.799093837395908,1,10000.109790802002,1.0,3.2364117854566388e-06
6.2732014656066895,6.2983460126438064,6.142997129096606,6.165652530748785,319840000,5.891208361818144,5.804332595718679,1,10000.300492286682,1.0,1.9069939097615674e-05
6.156192302703857,6.255774739975826,6.142997267694852,6.230380897950075,359088000,5.908873957877192,5.808220548282052,1,10000.18348312378,1.0,-1.1700564697347815e-05
6.113619804382324,6.191294240174743,6.087728325784851,6.168888134663605,263104000,5.922523680977534,5.811595125697525,1,10000.140910625458,1.0,-4.257171720256636e-06
6.197268962860107,6.203243955725435,6.143743321457783,6.1671451789942955,284192000,5.940840033103039,5.8158567150584375,1,10000.224559783936,1.0,8.364797978943628e-06
6.2059831619262695,6.223908142736829,6.158432507514532,6.2164392820208025,253792000,5.958516241691255,5.820167504526591,1,10000.233273983002,1.0,8.714003385534852e-07
6.1726226806640625,6.206231838269314,6.138515409122078,6.1693861271914585,217916000,5.9727900042894415,5.824062036859602,1,10000.19991350174,1.0,-3.335970306661551e-06
6.226646423339844,6.313283116105959,6.199012256697566,6.217932990150522,239240000,5.989713765559468,5.828510483119052,1,10000.253937244415,1.0,5.402266268994538e-06
6.295107841491699,6.303572453134539,6.177849750250181,6.266727222807234,244516000,6.010073370621617,5.833666255034772,1,10000.322398662567,1.0,6.8459679705146215e-06
6.235856533050537,6.460415187700572,6.1815839653772775,6.410623745370788,373512000,6.0251255814502125,5.83811034650456,1,10000.263147354126,1.0,-5.924939824875075e-06
5.979930400848389,6.030966423020703,5.7815120107174875,5.931134704252316,470536000,6.022112569410091,5.8396774189282485,1,10000.007221221924,1.0,-2.5591939775138073e-05
6.173370361328125,6.205734475431908,5.992627631927192,6.045904461515001,310976000,6.032196422204627,5.8433646337613965,1,10000.200661182404,1.0,1.934398207925625e-05
6.112873077392578,6.195028635711511,6.073039633351887,6.158929858989713,258848000,6.0375748658838235,5.846342627613675,1,10000.140163898468,1.0,-6.049607001457069e-06
6.119596004486084,6.133039860382909,5.960015269690451,6.015034316426723,290504000,6.043042941790641,5.849362001943757,1,10000.146886825562,1.0,6.722832863736983e-07
5.886073589324951,6.085736549108136,5.844249114148539,6.073786563387318,370420000,6.032578318292928,5.849767654842997,1,9999.9133644104,1.0,-2.3351898507439905e-05
5.983166694641113,6.002585064742657,5.8616758097780455,5.867899621997954,255564000,6.029284210049474,5.851241677382203,1,10000.010457515717,1.0,9.709394649615177e-06
6.1524577140808105,6.171627743057658,6.075032563978959,6.125072840257428,271544000,6.037495776984897,5.854570031378873,1,10000.179748535156,1.0,1.6929084240446812e-05
6.242828845977783,6.283657573028994,6.159428230355004,6.273450272554565,208220000,6.0511846482510885,5.8588601840263745,1,10000.270119667053,1.0,9.036950751939443e-06
6.329714298248291,6.329714298248291,6.196025064805359,6.277184878977309,218284000,6.069753291584235,5.864062991918329,1,10000.357005119324,1.0,8.688310538795818e-06
6.263491153717041,6.311788732866956,6.23809731682681,6.289631449180732,189752000,6.082669149059756,5.868476562766934,1,10000.290781974792,1.0,-6.622078041584878e-06
6.546803951263428,6.547550409885807,6.2811672485299805,6.286146488424555,529608000,6.113611469206667,5.875971893026564,1,10000.574094772339,1.0,2.8330455956071532e-05
6.669290065765381,6.78405902773847,6.593109500399379,6.6550997545095365,638556000,6.150656708977248,5.884737839686662,1,10000.69658088684,1.0,1.2247908304230393e-05
6.785055637359619,6.79152874495773,6.683232401246555,6.722069622295696,374644000,6.192949970869407,5.894686102644374,1,10000.812346458435,1.0,1.1575750814785124e-05
6.741239070892334,6.808457391836427,6.69966341067828,6.727048758065837,528016000,6.229502577537602,5.904040279089103,1,10000.768529891968,1.0,-4.381300733324878e-06
7.214505195617676,7.343464481568788,7.120150822834176,7.151519182292056,1041924000,6.29516941874294,5.918520554409861,1,10001.241796016693,1.0,4.732297556042653e-05
7.383296966552734,7.401720059646766,7.0917692538551025,7.1111876251368,620164000,6.367711255263593,5.934705929129672,1,10001.410587787628,1.0,1.687708130426735e-05
7.834654808044434,7.852330967951495,7.505783739325234,7.505783739325234,694332000,6.465507492115649,5.955699839393924,1,10001.86194562912,1.0,4.5129418248635034e-05
