Close_PLTR,High_PLTR,Low_PLTR,Open_PLTR,Volume_PLTR,SMA,Deviation,Signal,Portfolio Value,Position,Returns
9.5,11.40999984741211,9.109999656677246,10.0,338584400,,,0,10000.0,0.0,0.0
9.460000038146973,10.100000381469727,9.229999542236328,9.6899995803833,124297600,,,0,10000.0,0.0,0.0
9.199999809265137,9.279999732971191,8.9399995803833,9.0600004196167,55018300,,,0,10000.0,0.0,0.0
9.029999732971191,9.489999771118164,8.920000076293945,9.430000305175781,36316900,,,0,10000.0,0.0,0.0
9.899999618530273,10.180000305175781,8.899999618530273,9.039999961853027,90864000,,,0,10000.0,0.0,0.0
10.0,10.489999771118164,9.989999771118164,10.039999961853027,54672400,,,0,10000.0,0.0,0.0
10.0,10.399999618530273,9.989999771118164,10.289999961853027,34989200,,,0,10000.0,0.0,0.0
9.949999809265137,10.1899995803833,9.890000343322754,10.130000114440918,19653500,,,0,10000.0,0.0,0.0
9.890000343322754,10.050000190734863,9.65999984741211,10.039999961853027,20623600,,,0,10000.0,0.0,0.0
9.470000267028809,9.880000114440918,9.40999984741211,9.880000114440918,21847200,,,0,10000.0,0.0,0.0
9.34000015258789,9.65999984741211,9.289999961853027,9.600000381469727,13652600,,,0,10000.0,0.0,0.0
9.90999984741211,9.90999984741211,9.180000305175781,9.270000457763672,12924100,,,0,10000.0,0.0,0.0
9.710000038146973,9.949999809265137,9.65999984741211,9.9399995803833,11142500,,,0,10000.0,0.0,0.0
9.569999694824219,9.819999694824219,9.529999732971191,9.789999961853027,9126400,,,0,10000.0,0.0,0.0
9.270000457763672,9.65999984741211,9.270000457763672,9.600000381469727,11138200,,,0,10000.0,0.0,0.0
9.199999809265137,9.479999542236328,9.199999809265137,9.300000190734863,9190000,,,0,10000.0,0.0,0.0
9.680000305175781,9.75,9.220000267028809,9.369999885559082,17928600,,,0,10000.0,0.0,0.0
9.489999771118164,9.829999923706055,9.470000267028809,9.710000038146973,12618000,,,0,10000.0,0.0,0.0
9.949999809265137,9.970000267028809,9.600000381469727,9.720000267028809,23767300,,,0,10000.0,0.0,0.0
10.949999809265137,11.039999961853027,9.920000076293945,10.0,53695900,,,0,10000.0,0.0,0.0
10.850000381469727,10.984999656677246,10.100000381469727,10.65999984741211,30941700,,,0,10000.0,0.0,0.0
10.75,11.100000381469727,10.5600004196167,10.899999618530273,20515700,,,0,10000.0,0.0,0.0
10.130000114440918,10.680000305175781,9.850000381469727,10.609999656677246,19705500,,,0,10000.0,0.0,0.0
10.539999961853027,10.569999694824219,10.229999542236328,10.229999542236328,11677800,,,0,10000.0,0.0,0.0
10.5,10.9399995803833,10.4399995803833,10.569999694824219,21652800,,,0,10000.0,0.0,0.0
10.720000267028809,10.920000076293945,10.550000190734863,10.819999694824219,15783400,,,0,10000.0,0.0,0.0
11.880000114440918,12.130000114440918,10.850000381469727,10.899999618530273,48560400,,,0,10000.0,0.0,0.0
13.829999923706055,14.960000038146973,12.050000190734863,12.220000267028809,89977600,,,0,10000.0,0.0,0.0
14.670000076293945,15.899999618530273,14.109999656677246,14.960000038146973,60099000,,,0,10000.0,0.0,0.0
14.0,15.010000228881836,13.180000305175781,14.989999771118164,38078700,,,0,10000.0,0.0,0.0
15.960000038146973,15.970000267028809,14.399999618530273,14.569999694824219,47027900,,,0,10000.0,0.0,0.0
14.579999923706055,17.059999465942383,14.40999984741211,16.65999984741211,97904000,,,0,10000.0,0.0,0.0
15.800000190734863,16.0,14.489999771118164,14.489999771118164,76354800,,,0,10000.0,0.0,0.0
15.930000305175781,16.100000381469727,15.010000228881836,15.960000038146973,65326000,,,0,10000.0,0.0,0.0
17.850000381469727,18.75,16.18000030517578,16.290000915527344,116618500,,,0,10000.0,0.0,0.0
17.899999618530273,19.25,17.540000915527344,18.280000686645508,89957900,,,0,10000.0,0.0,0.0
18.979999542236328,18.979999542236328,17.959999084472656,18.5,56225400,,,0,10000.0,0.0,0.0
18.149999618530273,19.65999984741211,18.0,19.030000686645508,72104000,,,0,10000.0,0.0,0.0
21.040000915527344,21.450000762939453,18.56999969482422,18.6299991607666,84716300,,,0,10000.0,0.0,0.0
23.81999969482422,24.270000457763672,20.6299991607666,22.350000381469727,115468800,12.283750009536742,0.93914722103031,-1,10000.0,0.0,0.0
29.049999237060547,29.75,23.690000534057617,23.959999084472656,202563700,12.772499990463256,1.274417636230267,-1,10000.0,-1.0,0.0
27.65999984741211,33.5,26.1200008392334,31.190000534057617,207834000,13.227499985694886,1.0910980818238902,-1,10000.0,-1.0,0.0
27.110000610351562,30.149999618530273,24.110000610351562,28.239999771118164,137243000,13.675250005722045,0.9824135280165337,-1,10000.0,-1.0,0.0
25.670000076293945,28.139999389648438,24.450000762939453,28.09000015258789,84050000,14.091250014305114,0.8216978657134285,-1,10000.0,-1.0,0.0
22.510000228881836,23.399999618530273,21.149999618530273,22.239999771118164,149062100,14.406500029563905,0.5624891668822098,-1,10000.0,-1.0,0.0
24.030000686645508,25.6200008392334,23.5,23.549999237060547,85634300,14.757250046730041,0.628352207257622,-1,10000.0,-1.0,0.0
23.850000381469727,25.239999771118164,23.510000228881836,24.8799991607666,56044100,15.103500056266785,0.5791042005242897,-1,10000.0,-1.0,0.0
28.940000534057617,29.0,24.440000534057617,24.440000534057617,118463700,15.578250074386597,0.8577183185446551,-1,10000.0,-1.0,0.0
28.59000015258789,31.239999771118164,27.25,30.6299991607666,124754300,16.045750069618226,0.781780223956095,-1,10000.0,-1.0,0.0
